Academic_Year,State_Code,State_Name,District_Code,District_Name,Block_Code,Udise_Block_Name,School_Category_Id,School_Category_Name,School_Management_Id,School_Management_Name,Location,School_Type_Id,School_Type,Total_Number_of_Schools,Building,Complete_Medical_Checkup,Computer_Available,Functional_Drinking_Water,Drinking_Water,Functional_Electricity,Functional_Boy_Toilet,Functional_Girl_Toilet,Functional_Toilet_Facility,Functional_Toilet_and_Urinal,Functional_Urinal,Functional_Urinal_Boy,Functional_Urinal_Girl,Handwash,Separate_Room_for_Headmaster,Incinerator,Internet,Kitchen_Garden,Land_Available,Librarian,Library_or_Reading_Corner_or_Book_Bank,Medical_Checkup,Newspaper,Playground,Rain_Water_Harvesting,Ramps,Solar_Panel,Furniture,Water_Purifier,Water_Tested
2015-16,19,West Bengal,1901,DARJILING,190133,JOREBUNGLOW_SUKHIA_BLOCK,6,SS (I-X),8,Unrecognized,Rural,3,Co-Ed,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2015-16,19,West Bengal,1901,DARJILING,190133,JOREBUNGLOW_SUKHIA_BLOCK,7,SS (VI-X),1,Department of Education,Rural,3,Co-Ed,7,7,0,7,3,6,6,7,7,7,0,0,0,0,0,1,0,1,7,7,0,5,5,1,7,0,1,0,4,0,0
2015-16,19,West Bengal,1901,DARJILING,190133,JOREBUNGLOW_SUKHIA_BLOCK,7,SS (VI-X),5,Private Unaided (Recognized),Rural,3,Co-Ed,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2015-16,19,West Bengal,1901,DARJILING,190133,JOREBUNGLOW_SUKHIA_BLOCK,2,UPS (I-VIII),5,Private Unaided (Recognized),Rural,3,Co-Ed,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0
2015-16,19,West Bengal,1901,DARJILING,190133,JOREBUNGLOW_SUKHIA_BLOCK,4,UPS (VI-VIII),1,Department of Education,Rural,3,Co-Ed,12,11,0,9,2,9,5,12,12,12,0,0,0,0,3,1,0,0,12,12,0,4,6,2,11,0,1,0,3,0,0
2015-16,19,West Bengal,1901,DARJILING,190133,JOREBUNGLOW_SUKHIA_BLOCK,4,UPS (VI-VIII),5,Private Unaided (Recognized),Rural,3,Co-Ed,2,2,0,2,1,1,1,2,2,2,0,0,0,0,1,1,0,0,0,1,0,1,0,0,2,0,0,0,2,0,0
2015-16,19,West Bengal,1901,DARJILING,190133,JOREBUNGLOW_SUKHIA_BLOCK,4,UPS (VI-VIII),8,Unrecognized,Rural,3,Co-Ed,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2015-16,19,West Bengal,1901,DARJILING,190134,KALIMPONG_I_BLOCK,3,HSS (I-XII),5,Private Unaided (Recognized),Rural,3,Co-Ed,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0
2015-16,19,West Bengal,1901,DARJILING,190134,KALIMPONG_I_BLOCK,5,HSS (VI-XII),1,Department of Education,Rural,3,Co-Ed,3,2,0,3,2,3,3,3,3,3,0,0,0,0,0,0,0,1,3,3,1,3,1,3,3,0,3,0,0,0,0
2015-16,19,West Bengal,1901,DARJILING,190134,KALIMPONG_I_BLOCK,1,PS (I-V),1,Department of Education,Rural,3,Co-Ed,156,145,0,8,46,107,14,156,156,156,0,0,0,0,64,6,0,0,71,120,0,10,36,0,94,0,71,0,15,0,0
